"A00","Cholera"
"A160","Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert"
"A161","Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgeführt"
"A162","Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
"A163","Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
"A164","Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
"A165","Tuberkulöse Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
"A167","Primäre Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
"A168","Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
"A169","Nicht näher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
"A17","Tuberkulose des Nervensystems"
"A170","Tuberkulöse Meningitis"
"A171","Meningeales Tuberkulom"
"A178","Sonstige Tuberkulose des Nervensystems"
"A179","Tuberkulose des Nervensystems, nicht näher bezeichnet"
"A18","Tuberkulose sonstiger Organe"
"A180","Tuberkulose der Knochen und Gelenke"
"A181","Tuberkulose des Urogenitalsystems"
"A182","Tuberkulose peripherer Lymphknoten"
"A183","Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten"
"A184","Tuberkulose der Haut und des Unterhautgewebes"
"A185","Tuberkulose des Auges"
"A186","Tuberkulose des Ohres"
"A187","Tuberkulose der Nebennieren"
"A188","Tuberkulose sonstiger näher bezeichneter Organe"
"A19","Miliartuberkulose"
"A190","Akute Miliartuberkulose einer einzelnen näher bezeichneten Lokalisation"
"A191","Akute Miliartuberkulose mehrerer Lokalisationen"
"A192","Akute Miliartuberkulose, nicht näher bezeichnet"
"A198","Sonstige Miliartuberkulose"
"A199","Miliartuberkulose, nicht näher bezeichnet"
"A20","Pest"
"A200","Bubonenpest"
"A201","Hautpest"
"A202","Lungenpest"
"A203","Pestmeningitis"
"A207","Pestsepsis"
"A208","Sonstige Formen der Pest"
"A209","Pest, nicht näher bezeichnet"
"A21","Tularämie"
"A210","Ulzeroglanduläre Tularämie"
"A211","Okuloglanduläre Tularämie"
"A212","Pulmonale Tularämie"
"A213","Gastrointestinale Tularämie"
"A217","Generalisierte Tularämie"
"A218","Sonstige Formen der Tularämie"
"A219","Tularämie, nicht näher bezeichnet"
"A22","Anthrax [Milzbrand]"
"A220","Hautmilzbrand"
"A221","Lungenmilzbrand"
"A222","Darmmilzbrand"
"A227","Milzbrandsepsis"
"A228","Sonstige Formen des Milzbrandes"
"A229","Milzbrand, nicht näher bezeichnet"
"A23","Brucellose"
"A230","Brucellose durch Brucella melitensis"
"A231","Brucellose durch Brucella abortus"
"A232","Brucellose durch Brucella suis"
"A233","Brucellose durch Brucella canis"
"A238","Sonstige Brucellose"
"A239","Brucellose, nicht näher bezeichnet"
"A24","Rotz [Malleus] und Melioidose [Pseudorotz]"
"A240","Rotz"
"A241","Akute oder fulminante Melioidose"
"A242","Subakute oder chronische Melioidose"
"A243","Sonstige Melioidose"
"A244","Melioidose, nicht näher bezeichnet"
"A25","Rattenbisskrankheiten"
"A250","Spirillen-Rattenbisskrankheit"
"A251","Streptobazillen-Rattenbisskrankheit"
"A259","Rattenbisskrankheit, nicht näher bezeichnet"
"A26","Erysipeloid"
"A260","Haut-Erysipeloid"
"A267","Erysipelothrix-Sepsis"
"A268","Sonstige Formen des Erysipeloids"
"A269","Erysipeloid, nicht näher bezeichnet"
"A27","Leptospirose"
"A270","Leptospirosis icterohaemorrhagica [Weil-Krankheit]"
"A278","Sonstige Formen der Leptospirose"
"A279","Leptospirose, nicht näher bezeichnet"
"A28","Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert"
"A280","Pasteurellose"
"A281","Katzenkratzkrankheit"
"A282","Extraintestinale Yersiniose"
"A288","Sonstige näher bezeichnete bakterielle Zoonosen, anderenorts nicht klassifiziert"
"A289","Bakterielle Zoonose, nicht näher bezeichnet"
"A30","Lepra [Aussatz]"
"A300","Indeterminierte Lepra"
"A301","Tuberkuloide Lepra"
"A302","Borderline-tuberkuloide Lepra"
"A303","Borderline-Lepra"
"A304","Borderline-lepromatöse Lepra"
"A305","Lepromatöse Lepra"
"A308","Sonstige Formen der Lepra"
"A309","Lepra, nicht näher bezeichnet"
"A31","Infektion durch sonstige Mykobakterien"
"A310","Infektion der Lunge durch sonstige Mykobakterien"
"A311","Infektion der Haut durch sonstige Mykobakterien"
"A318","Sonstige Infektionen durch Mykobakterien"
"A3180","Disseminierte atypische Mykobakteriose"
"A3188","Sonstige Infektionen durch Mykobakterien"
"A319","Infektion durch Mykobakterien, nicht näher bezeichnet"
"A32","Listeriose"
"A320","Kutane Listeriose"
"A321","Meningitis und Meningoenzephalitis durch Listerien"
"A327","Listeriensepsis"
"A328","Sonstige Formen der Listeriose"
"A329","Listeriose, nicht näher bezeichnet"
"A33","Tetanus neonatorum"
"A34","Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes"
"A35","Sonstiger Tetanus"
"A36","Diphtherie"
"A360","Rachendiphtherie"
"A361","Nasenrachendiphtherie"
"A362","Kehlkopfdiphtherie"
"A363","Hautdiphtherie"
"A368","Sonstige Diphtherie"
"A369","Diphtherie, nicht näher bezeichnet"
"A37","Keuchhusten"
"A370","Keuchhusten durch Bordetella pertussis"
"A371","Keuchhusten durch Bordetella parapertussis"
"A378","Keuchhusten durch sonstige Bordetella-Spezies"
"A379","Keuchhusten, nicht näher bezeichnet"
"A38","Scharlach"
"A39","Meningokokkeninfektion"
"A390","Meningokokkenmeningitis"
"A391","Waterhouse-Friderichsen-Syndrom"
"A392","Akute Meningokokkensepsis"
"A393","Chronische Meningokokkensepsis"
"A394","Meningokokkensepsis, nicht näher bezeichnet"
"A395","Herzkrankheit durch Meningokokken"
"A398","Sonstige Meningokokkeninfektionen"
"A399","Meningokokkeninfektion, nicht näher bezeichnet"
"A40","Streptokokkensepsis"
"A400","Sepsis durch Streptokokken, Gruppe A"
"A401","Sepsis durch Streptokokken, Gruppe B"
"A402","Sepsis durch Streptokokken, Gruppe D, und Enterokokken"
"A403","Sepsis durch Streptococcus pneumoniae"
"A408","Sonstige Sepsis durch Streptokokken"
"A409","Sepsis durch Streptokokken, nicht näher bezeichnet"
"A41","Sonstige Sepsis"
"A410","Sepsis durch Staphylococcus aureus"
"A411","Sepsis durch sonstige näher bezeichnete Staphylokokken"
"A412","Sepsis durch nicht näher bezeichnete Staphylokokken"
"A413","Sepsis durch Haemophilus influenzae"
"A414","Sepsis durch Anaerobier"
"A415","Sepsis durch sonstige gramnegative Erreger"
"A4151","Sepsis: Escherichia coli [E. coli]"
"A4152","Sepsis: Pseudomonas"
"A4158","Sepsis: Sonstige gramnegative Erreger"
"A418","Sonstige näher bezeichnete Sepsis"
"A419","Sepsis, nicht näher bezeichnet"
"A42","Aktinomykose"
"A420","Aktinomykose der Lunge"
"A421","Abdominale Aktinomykose"
"A422","Zervikofaziale Aktinomykose"
"A427","Aktinomykotische Sepsis"
"A428","Sonstige Formen der Aktinomykose"
"A429","Aktinomykose, nicht näher bezeichnet"
"A43","Nokardiose"
"A430","Pulmonale Nokardiose"
"A431","Nokardiose der Haut"
"A438","Sonstige Formen der Nokardiose"
"A439","Nokardiose, nicht näher bezeichnet"
"A44","Bartonellose"
"A440","Systemische Bartonellose"
"A441","Kutane und mukokutane Bartonellose"
"A448","Sonstige Formen der Bartonellose"
"A449","Bartonellose, nicht näher bezeichnet"
"A46","Erysipel [Wundrose]"
"A48","Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert"
"A480","Gasbrand [Gasödem]"
"A481","Legionellose mit Pneumonie"
"A482","Legionellose ohne Pneumonie [Pontiac-Fieber]"
"A483","Syndrom des toxischen Schocks"
"A484","Brazilian purpuric fever"
"A488","Sonstige näher bezeichnete bakterielle Krankheiten"
"A49","Bakterielle Infektion nicht näher bezeichneter Lokalisation"
"A490","Staphylokokkeninfektion nicht näher bezeichneter Lokalisation"
"A491","Streptokokken- und Enterokokkeninfektion nicht näher bezeichneter Lokalisation"
"A492","Infektion durch Haemophilus influenzae nicht näher bezeichneter Lokalisation"
"A493","Mykoplasmeninfektion nicht näher bezeichneter Lokalisation"
"A498","Sonstige bakterielle Infektionen nicht näher bezeichneter Lokalisation"
"A499","Bakterielle Infektion, nicht näher bezeichnet"
"A50","Syphilis connata"
"A500","Floride konnatale Frühsyphilis"
"A501","Latente konnatale Frühsyphilis"
"A502","Konnatale Frühsyphilis, nicht näher bezeichnet"
"A503","Konnatale spätsyphilitische Augenkrankheit"
"A504","Konnatale spätauftretende Neurosyphilis [Juvenile Neurosyphilis]"
"A505","Sonstige Formen der floriden konnatalen Spätsyphilis"
"A506","Latente konnatale Spätsyphilis"
"A507","Konnatale Spätsyphilis, nicht näher bezeichnet"
"A509","Syphilis connata, nicht näher bezeichnet"
"A51","Frühsyphilis"
"A510","Primärer syphilitischer Genitalaffekt"
"A511","Analer Primäraffekt bei Syphilis"
"A512","Primäraffekt bei Syphilis, sonstige Lokalisationen"
"A513","Sekundäre Syphilis der Haut und der Schleimhäute"
"A514","Sonstige sekundäre Syphilis"
"A515","Latente Frühsyphilis"
"A519","Frühsyphilis, nicht näher bezeichnet"
"A52","Spätsyphilis"
"A520","Kardiovaskuläre Syphilis"
"A521","Floride Neurosyphilis"
"A522","Asymptomatische Neurosyphilis"
"A523","Neurosyphilis, nicht näher bezeichnet"
"A527","Sonstige floride Spätsyphilis"
"A528","Latente Spätsyphilis"
"A529","Spätsyphilis, nicht näher bezeichnet"
"A53","Sonstige und nicht näher bezeichnete Syphilis"
"A530","Latente Syphilis, nicht als früh oder spät bezeichnet"
"A539","Syphilis, nicht näher bezeichnet"
"A54","Gonokokkeninfektion"
"A540","Gonokokkeninfektion des unteren Urogenitaltraktes ohne periurethralen Abszess oder Abszess der Glandulae urethrales"
"A541","Gonokokkeninfektion des unteren Urogenitaltraktes mit periurethralem Abszess oder Abszess der Glandulae urethrales"
"A542","Pelviperitonitis durch Gonokokken und Gonokokkeninfektionen sonstiger Urogenitalorgane"
"A543","Gonokokkeninfektion des Auges"
"A544","Gonokokkeninfektion des Muskel-Skelett-Systems"
"A545","Gonokokkenpharyngitis"
"A546","Gonokokkeninfektion des Anus und des Rektums"
"A548","Sonstige Gonokokkeninfektionen"
"A549","Gonokokkeninfektion, nicht näher bezeichnet"
"A55","Lymphogranuloma inguinale (venereum) durch Chlamydien"
"A56","Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten"
"A560","Chlamydieninfektion des unteren Urogenitaltraktes"
"A561","Chlamydieninfektion des Pelviperitoneums und sonstiger Urogenitalorgane"
"A562","Chlamydieninfektion des Urogenitaltraktes, nicht näher bezeichnet"
"A563","Chlamydieninfektion des Anus und des Rektums"
"A564","Chlamydieninfektion des Pharynx"
"A568","Durch Geschlechtsverkehr übertragene Chlamydieninfektion an sonstigen Lokalisationen"
"A57","Ulcus molle (venereum)"
"A58","Granuloma venereum (inguinale)"
"A59","Trichomoniasis"
"A590","Trichomoniasis urogenitalis"
"A598","Sonstige Lokalisationen der Trichomoniasis"
"A599","Trichomoniasis, nicht näher bezeichnet"
"A60","Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex]"
"A600","Infektion der Genitalorgane und des Urogenitaltraktes durch Herpesviren"
"A601","Infektion der Perianalhaut und des Rektums durch Herpesviren"
"A609","Infektion des Anogenitalbereiches durch Herpesviren, nicht näher bezeichnet"
"A63","Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert"
"A630","Anogenitale (venerische) Warzen"
"A638","Sonstige näher bezeichnete, vorwiegend durch Geschlechtsverkehr übertragene Krankheiten"
"A64","Durch Geschlechtsverkehr übertragene Krankheiten, nicht näher bezeichnet"
"A65","Nichtvenerische Syphilis"
"A66","Frambösie"
"A660","Primärläsion bei Frambösie"
"A661","Multiple Papillome und Krabbenframbösie"
"A662","Sonstige Hautläsionen im Frühstadium der Frambösie"
"A663","Hyperkeratose bei Frambösie"
"A664","Gummata und Ulzera bei Frambösie"
"A665","Gangosa"
"A666","Knochen- und Gelenkveränderungen bei Frambösie"
"A667","Sonstige Manifestationen bei Frambösie"
"A668","Latente Frambösie"
"A669","Frambösie, nicht näher bezeichnet"
"A67","Pinta [Carate]"
"A670","Primärläsion bei Pinta"
"A671","Zwischenstadium der Pinta"
"A672","Spätstadium der Pinta"
"A673","Mischformen der Pinta"
"A679","Pinta, nicht näher bezeichnet"
"A68","Rückfallfieber"
"A680","Durch Läuse übertragenes Rückfallfieber"
"A681","Durch Zecken übertragenes Rückfallfieber"
"A689","Rückfallfieber, nicht näher bezeichnet"
"A69","Sonstige Spirochäteninfektionen"
"A690","Nekrotisierend-ulzeröse Stomatitis"
"A691","Sonstige Fusospirochätosen"
"A692","Lyme-Krankheit"
"A698","Sonstige näher bezeichnete Spirochäteninfektionen"
"A699","Spirochäteninfektion, nicht näher bezeichnet"
"A70","Infektionen durch Chlamydia psittaci"
"A71","Trachom"
"A710","Initialstadium des Trachoms"
"A711","Aktives Stadium des Trachoms"
"A719","Trachom, nicht näher bezeichnet"
"A74","Sonstige Krankheiten durch Chlamydien"
"A740","Chlamydienkonjunktivitis"
"A748","Sonstige Chlamydienkrankheiten"
"A749","Chlamydieninfektion, nicht näher bezeichnet"
"A75","Fleckfieber"
"A750","Epidemisches Fleckfieber durch Rickettsia prowazeki"
"A751","Fleckfieber-Spätrezidiv [Brill-Krankheit]"
"A752","Fleckfieber durch Rickettsia typhi [Rickettsia mooseri]"
"A753","Fleckfieber durch Rickettsia tsutsugamushi [Rickettsia orientalis]"
"A759","Fleckfieber, nicht näher bezeichnet"
"A77","Zeckenbissfieber [Rickettsiosen, durch Zecken übertragen]"
"A770","Zeckenbissfieber durch Rickettsia rickettsii"
"A771","Zeckenbissfieber durch Rickettsia conori"
"A772","Zeckenbissfieber durch Rickettsia sibirica"
"A773","Zeckenbissfieber durch Rickettsia australis"
"A778","Sonstige Zeckenbissfieber"
"A779","Zeckenbissfieber, nicht näher bezeichnet"
"A78","Q-Fieber"
"A79","Sonstige Rickettsiosen"
"A790","Wolhynisches Fieber"
"A791","Rickettsienpocken durch Rickettsia akari"
"A798","Sonstige näher bezeichnete Rickettsiosen"
"A799","Rickettsiose, nicht näher bezeichnet"
"A80","Akute Poliomyelitis [Spinale Kinderlähmung]"
"A800","Akute paralytische Poliomyelitis durch Impfvirus"
"A801","Akute paralytische Poliomyelitis durch importiertes Wildvirus"
"A802","Akute paralytische Poliomyelitis durch einheimisches Wildvirus"
"A803","Sonstige und nicht näher bezeichnete akute paralytische Poliomyelitis"
"A804","Akute nichtparalytische Poliomyelitis"
"A809","Akute Poliomyelitis, nicht näher bezeichnet"
"A81","Atypische Virusinfektionen des Zentralnervensystems"
"A810","Creutzfeldt-Jakob-Krankheit"
"A811","Subakute sklerosierende Panenzephalitis"
"A812","Progressive multifokale Leukenzephalopathie"
"A818","Sonstige atypische Virusinfektionen des Zentralnervensystems"
"A819","Atypische Virusinfektion des Zentralnervensystems, nicht näher bezeichnet"
"A82","Tollwut [Rabies]"
"A820","Wildtier-Tollwut"
"A821","Haustier-Tollwut"
"A829","Tollwut, nicht näher bezeichnet"
"A83","Virusenzephalitis, durch Moskitos [Stechmücken] übertragen"
"A830","Japanische Enzephalitis"
"A831","Westliche Pferdeenzephalitis [Western-Equine-Encephalitis]"
"A832","Östliche Pferdeenzephalitis [Eastern-Equine-Encephalitis]"
"A833","St.-Louis-Enzephalitis"
"A834","Australische Enzephalitis"
"A835","Kalifornische Enzephalitis"
"A836","Rocio-Virusenzephalitis"
"A838","Sonstige Virusenzephalitis, durch Moskitos übertragen"
"A839","Virusenzephalitis, durch Moskitos übertragen, nicht näher bezeichnet"
"A84","Virusenzephalitis, durch Zecken übertragen"
"A840","Fernöstliche Enzephalitis, durch Zecken übertragen [Russische Frühsommer-Enzephalitis]"
"A841","Mitteleuropäische Enzephalitis, durch Zecken übertragen"
"A848","Sonstige Virusenzephalitis, durch Zecken übertragen"
"A849","Virusenzephalitis, durch Zecken übertragen, nicht näher bezeichnet"
"A85","Sonstige Virusenzephalitis, anderenorts nicht klassifiziert"
"A850","Enzephalitis durch Enteroviren"
"A851","Enzephalitis durch Adenoviren"
"A852","Virusenzephalitis, durch Arthropoden übertragen, nicht näher bezeichnet"
"A858","Sonstige näher bezeichnete Virusenzephalitis"
"A86","Virusenzephalitis, nicht näher bezeichnet"
"A87","Virusmeningitis"
"A870","Meningitis durch Enteroviren"
"A871","Meningitis durch Adenoviren"
"A872","Lymphozytäre Choriomeningitis"
"A878","Sonstige Virusmeningitis"
"A879","Virusmeningitis, nicht näher bezeichnet"
"A88","Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert"
"A880","Fieber und Exanthem durch Enteroviren [Boston-Exanthem]"
"A881","Epidemischer Schwindel"
"A888","Sonstige näher bezeichnete Virusinfektionen des Zentralnervensystems"
"A89","Virusinfektion des Zentralnervensystems, nicht näher bezeichnet"
"A92","Sonstige durch Moskitos [Stechmücken] übertragene Viruskrankheiten"
"A920","Chikungunya-Viruskrankheit"
"A921","O'Nyong-nyong-Fieber"
"A922","Venezolanisches Pferdefieber"
"A923","West-Nil-Virusinfektion"
"A924","Rifttalfieber"
"A925","Zika-Viruskrankheit"
"A928","Sonstige näher bezeichnete, durch Moskitos übertragene Viruskrankheiten"
"A929","Durch Moskitos übertragene Viruskrankheit, nicht näher bezeichnet"
"A93","Sonstige durch Arthropoden übertragene Viruskrankheiten, anderenorts nicht klassifiziert"
"A930","Oropouche-Viruskrankheit"
"A931","Pappataci-Fieber"
"A932","Colorado-Zeckenfieber"
"A938","Sonstige näher bezeichnete, durch Arthropoden übertragene Viruskrankheiten"
"A94","Durch Arthropoden übertragene Viruskrankheit, nicht näher bezeichnet"
"A95","Gelbfieber"
"A950","Buschgelbfieber"
"A951","Urbanes Gelbfieber"
"A959","Gelbfieber, nicht näher bezeichnet"
"A96","Hämorrhagisches Fieber durch Arenaviren"
"A960","Hämorrhagisches Fieber durch Junin-Viren"
"A961","Hämorrhagisches Fieber durch Machupo-Viren"
"A962","Lassa-Fieber"
"A968","Sonstiges hämorrhagisches Fieber durch Arenaviren"
"A969","Hämorrhagisches Fieber durch Arenaviren, nicht näher bezeichnet"
"A97","Dengue"
"A970","Dengue ohne Warnzeichen"
"A971","Dengue mit Warnzeichen"
"A972","Schweres Dengue"
"A979","Dengue, nicht näher bezeichnet"
"A98","Sonstige hämorrhagische Viruskrankheiten, anderenorts nicht klassifiziert"
"A980","Hämorrhagisches Krim-Kongo-Fieber"
"A981","Hämorrhagisches Omsk-Fieber"
"A982","Kyasanur-Wald-Krankheit"
"A983","Marburg-Viruskrankheit"
"A984","Ebola-Viruskrankheit"
"A985","Hämorrhagisches Fieber mit renalem Syndrom"
"A988","Sonstige näher bezeichnete hämorrhagische Viruskrankheiten"
"A99","Nicht näher bezeichnete hämorrhagische Viruskrankheit"
"B00","Infektionen durch Herpesviren [Herpes simplex]"
"B000","Ekzema herpeticatum Kaposi"
"B001","Dermatitis vesicularis durch Herpesviren"
"B002","Gingivostomatitis herpetica und Pharyngotonsillitis herpetica"
"B003","Meningitis durch Herpesviren"
"B004","Enzephalitis durch Herpesviren"
"B005","Augenkrankheit durch Herpesviren"
"B007","Disseminierte Herpesvirus-Krankheit"
"B008","Sonstige Infektionsformen durch Herpesviren"
"B009","Infektion durch Herpesviren, nicht näher bezeichnet"
"B01","Varizellen [Windpocken]"
"B010","Varizellen-Meningitis"
"B011","Varizellen-Enzephalitis"
"B012","Varizellen-Pneumonie"
"B018","Varizellen mit sonstigen Komplikationen"
"B019","Varizellen ohne Komplikation"
"B02","Zoster [Herpes zoster]"
"B020","Zoster-Enzephalitis"
"B021","Zoster-Meningitis"
"B022","Zoster mit Beteiligung anderer Abschnitte des Nervensystems"
"B023","Zoster ophthalmicus"
"B027","Zoster generalisatus"
"B028","Zoster mit sonstigen Komplikationen"
"B029","Zoster ohne Komplikation"
"B03","Pocken"
"B04","Affenpocken"
"B05","Masern"
"B050","Masern, kompliziert durch Enzephalitis"
"B051","Masern, kompliziert durch Meningitis"
"B052","Masern, kompliziert durch Pneumonie"
"B053","Masern, kompliziert durch Otitis media"
"B054","Masern mit Darmkomplikationen"
"B058","Masern mit sonstigen Komplikationen"
"B059","Masern ohne Komplikation"
"B06","Röteln [Rubeola] [Rubella]"
"B060","Röteln mit neurologischen Komplikationen"
"B068","Röteln mit sonstigen Komplikationen"
"B069","Röteln ohne Komplikation"
"B07","Viruswarzen"
"B08","Sonstige Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind, anderenorts nicht klassifiziert"
"B080","Sonstige Infektionen durch Orthopoxviren"
"B081","Molluscum contagiosum"
"B082","Exanthema subitum [Sechste Krankheit]"
"B083","Erythema infectiosum [Fünfte Krankheit]"
"B084","Vesikuläre Stomatitis mit Exanthem durch Enteroviren"
"B085","Vesikuläre Pharyngitis durch Enteroviren"
"B088","Sonstige näher bezeichnete Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind"
"B09","Nicht näher bezeichnete Virusinfektion, die durch Haut- und Schleimhautläsionen gekennzeichnet ist"
"B15","Akute Virushepatitis A"
"B150","Virushepatitis A mit Coma hepaticum"
"B159","Virushepatitis A ohne Coma hepaticum"
"B16","Akute Virushepatitis B"
"B160","Akute Virushepatitis B mit Delta-Virus (Begleitinfektion) und mit Coma hepaticum"
"B161","Akute Virushepatitis B mit Delta-Virus (Begleitinfektion) ohne Coma hepaticum"
"B162","Akute Virushepatitis B ohne Delta-Virus mit Coma hepaticum"
"B169","Akute Virushepatitis B ohne Delta-Virus und ohne Coma hepaticum"
"B17","Sonstige akute Virushepatitis"
"B170","Akute Delta-Virus- (Super-) Infektion eines Hepatitis-B- (Virus-) Trägers"
"B171","Akute Virushepatitis C"
"B172","Akute Virushepatitis E"
"B178","Sonstige näher bezeichnete akute Virushepatitis"
"B179","Akute Virushepatitis, nicht näher bezeichnet"
"B18","Chronische Virushepatitis"
"B180","Chronische Virushepatitis B mit Delta-Virus"
"B181","Chronische Virushepatitis B ohne Delta-Virus"
"B1811","Chronische Virushepatitis B ohne Delta-Virus, Phase 1"
